BEATS,LAT,LONG,BSV,WSV,HSV,ASV,OSV,BAV,WAV,HAV,AAV,OAV,BSP,WSP,HSP,ASP,OSP,BAP,WAP,HAP,AAP,OAP
22X,37.80079622,-122.2149525,106.0842434,6.627393225,64.33823529,8.665511265,18.01801802,18.72074883,0.368188513,12.86764706,0.866551127,0,18.72074883,2.209131075,7.352941176,0.866551127,4.504504505,12.48049922,0.736377025,7.352941176,0,0
22Y,37.79711318,-122.2001851,40.76086957,5.053908356,15.11627907,8.134805346,9.46969697,10.86956522,0,0,1.162115049,0,10.86956522,0.336927224,5.813953488,0,0,9.510869565,0.336927224,4.651162791,0,0
23X,37.77566185,-122.2201999,1002.164502,54.84848485,200.7440958,104.1514931,24.2510699,73.59307359,6.666666667,9.705596894,6.554989075,1.141226819,115.8008658,10.3030303,11.97023617,6.554989075,0.855920114,68.18181818,6.666666667,5.985118085,2.913328478,0.285306705
24X,37.781513,-122.2136257,271.9522592,20.05730659,94.32363739,39.28095872,13.83399209,23.87041773,1.227998363,6.777746399,0,0.988142292,11.93520887,0.409332788,3.9536854,2.663115846,0.494071146,8.52514919,0.409332788,1.6944366,1.997336884,0.494071146
24Y,37.78711669,-122.2053447,198.2942431,29.00886382,60.20408163,13.48210135,4.938271605,14.92537313,4.029008864,6.632653061,0,0,24.52025586,4.029008864,5.612244898,0.464900046,0,8.528784648,2.417405318,3.571428571,0.464900046,0
25X,37.78918815,-122.1935045,212.7016129,28.87633396,77.74538387,20.06688963,37.38317757,16.12903226,2.197112367,7.774538387,0.668896321,0,16.12903226,2.197112367,2.915451895,1.337792642,0,7.056451613,1.569365976,0.971817298,0.668896321,0
25Y,37.7826749,-122.1707925,14.32880845,3.014318011,11.31541726,1.367053999,11.19402985,0.754147813,0,1.414427157,0,0,0.754147813,0,0,0,0,0.754147813,0,0,0,0
26X,37.76608694,-122.2092286,2507.772021,96.94989107,345.2631579,119.1135734,45.34883721,409.3264249,14.16122004,44.21052632,11.08033241,3.488372093,145.0777202,13.07189542,19.64912281,8.310249307,0,98.44559585,4.357298475,11.92982456,5.540166205,0
26Y,37.75977907,-122.1953285,151.9699812,9.029345372,38.25533848,25.64102564,2.842744541,16.20330889,0.501630298,3.089504771,1.972386588,0.129215661,11.0864745,1.003260597,0.908677874,0,0,6.310762408,0.501630298,0.636074512,0,0
27X,37.7722486,-122.2064236,300.6622517,130.7550645,139.9241946,139.6825397,14.53193647,28.69757174,12.89134438,9.159823121,15.87301587,1.689760054,23.3995585,3.683241252,8.843967151,12.6984127,0.675904022,11.4790287,1.841620626,5.053695515,12.6984127,0.337952011
27Y,37.76766083,-122.198952,298.6828053,42.47104247,245.441104,46.91689008,27.63819095,27.05589178,3.861003861,12.32134056,4.021447721,0,16.3759345,1.930501931,11.33563332,2.680965147,0,8.8999644,0.965250965,6.899950715,1.340482574,0
28X,37.7812169,-122.194225,22.3880597,7.817589577,2.694563322,5.208333333,0.726304322,3.011259492,0,0.237755587,0,0,1.309243257,0.217155266,0,0,0,0.785545954,0.217155266,0,0,0
29X,37.77254693,-122.1848129,1130.057803,36.08736942,386.8312757,34.88372093,206.1068702,105.4913295,1.899335233,30.86419753,1.937984496,22.90076336,54.9132948,1.899335233,8.230452675,0,15.26717557,40.46242775,1.899335233,4.115226337,0,15.26717557
30X,37.76208058,-122.1811331,362.7630375,28.91367204,439.7590361,68.89352818,56.71641791,47.34675206,2.478314746,43.88984509,2.087682672,1.492537313,29.50594694,1.652209831,21.51462995,10.43841336,1.492537313,18.06953339,1.239157373,12.90877797,2.087682672,0
30Y,37.76593961,-122.1723944,150.203252,7.670182167,18.22884592,4.62962963,2.865329513,19.51219512,0.958772771,2.586525434,0.420875421,0,14.63414634,0,0.615839389,0,0,7.520325203,0,0.615839389,0,0
31X,37.74381557,-122.1973687,42.23806912,15.57632399,73.63291825,29.60969044,13.65187713,6.034009874,0.5192108,5.414185165,1.34589502,0,7.405375754,7.268951194,8.121277748,8.075370121,0,4.93691717,4.672897196,6.497022198,8.075370121,0
31Y,37.73856102,-122.1906944,219.3050193,30.87248322,70.13924703,80,6.993006993,25.48262548,5.369127517,7.220216606,0,0,32.43243243,26.84563758,19.59773079,90,1.554001554,23.93822394,20.13422819,18.56627127,70,1.554001554
31Z,37.73403878,-122.1806149,78.183172,18.69158879,30.23872679,10.86956522,0.702740689,11.91362621,0,6.896551724,0,0.702740689,14.89203276,4.672897196,4.774535809,0,0,6.701414743,0,2.652519894,0,0
32X,37.74322411,-122.1707048,1623.115578,30.84415584,217.7201513,19.90049751,23.04737516,203.5175879,2.705627706,19.98919503,1.658374793,1.280409731,123.1155779,0.541125541,8.643976229,0.829187396,1.280409731,80.40201005,0.541125541,6.482982172,0,1.280409731
32Y,37.7458863,-122.1585846,226.2411348,5.031446541,64.39979392,12.74900398,9.775171065,21.9858156,0.503144654,4.121586811,0.796812749,0.977517107,9.929078014,0.503144654,2.060793405,0,0,9.929078014,0.503144654,2.060793405,0,0
33X,37.74923873,-122.1783681,448.0769231,36.44444444,151.8864882,275,8.747697974,66.02564103,8,16.12383102,12.5,0.920810313,48.07692308,3.555555556,6.772009029,12.5,0,35.25641026,2.666666667,5.159625927,12.5,0
34X,37.75142226,-122.171266,686.7816092,43.76590331,180.5078929,122.5490196,15.83011583,90.72249589,4.071246819,12.35415237,4.901960784,0,62.39737274,1.017811705,6.177076184,2.450980392,0.386100386,36.94581281,0,4.118050789,0,0.386100386
35X,37.75595287,-122.1626409,313.3654425,45.18828452,146.012931,168,31.05022831,30.10234798,4.184100418,13.46982759,0,0.913242009,13.54605659,0,2.155172414,16,0.913242009,5.719446117,0,2.155172414,0,0.913242009
35Y,37.76029269,-122.120139,8.344030809,4.442470013,19.94301994,8.908685969,13.4529148,0.962772786,0,4.273504274,0,0,0,0,1.424501425,0,0,0,0,1.424501425,0,0
