BEATS,BS,WS,HS,AS,OS,BA,WA,HA,AA,OA,BWS,HWS,AWS,OWS,LAT,LONG
23X,1002.164502,54.84848485,200.7440958,104.1514931,24.2510699,73.59307359,6.666666667,9.705596894,6.554989075,1.141226819,18.2715075,3.659975227,1.898894625,0.442146578,37.77566185,-122.2201999
24X,271.9522592,20.05730659,94.32363739,39.28095872,13.83399209,23.87041773,1.227998363,6.777746399,0,0.988142292,13.55876264,4.702707064,1.958436371,0.68972332,37.781513,-122.2136257
24Y,198.2942431,29.00886382,60.20408163,13.48210135,4.938271605,14.92537313,4.029008864,6.632653061,0,0,6.835643213,2.075368481,0.464757994,0.170233196,37.78711669,-122.2053447
25X,212.7016129,28.87633396,77.74538387,20.06688963,37.38317757,16.12903226,2.197112367,7.774538387,0.668896321,0,7.365949334,2.692356446,0.694925113,1.294595693,37.78918815,-122.1935045
25Y,14.32880845,3.014318011,11.31541726,1.367053999,11.19402985,0.754147813,0,1.414427157,0,0,4.753582202,3.753889675,0.453520164,3.713619403,37.7826749,-122.1707925
26X,2507.772021,96.94989107,345.2631579,119.1135734,45.34883721,409.3264249,14.16122004,44.21052632,11.08033241,3.488372093,25.86668219,3.561253696,1.228609667,0.467755422,37.76608694,-122.2092286
26Y,151.9699812,9.029345372,38.25533848,25.64102564,2.842744541,16.20330889,0.501630298,3.089504771,1.972386588,0.129215661,16.83067542,4.236778737,2.83974359,0.314833958,37.75977907,-122.1953285
27X,300.6622517,130.7550645,139.9241946,139.6825397,14.53193647,28.69757174,12.89134438,9.159823121,15.87301587,1.689760054,2.299431023,1.070124474,1.068276325,0.111138613,37.7722486,-122.2064236
27Y,298.6828053,42.47104247,245.441104,46.91689008,27.63819095,27.05589178,3.861003861,12.32134056,4.021447721,0,7.032622415,5.779022358,1.104679503,0.650753769,37.76766083,-122.198952
28X,22.3880597,7.817589577,2.694563322,5.208333333,0.726304322,3.011259492,0,0.237755587,0,0,2.86380597,0.344679558,0.666232639,0.092906428,37.7812169,-122.194225
29X,1130.057803,36.08736942,386.8312757,34.88372093,206.1068702,105.4913295,1.899335233,30.86419753,1.937984496,22.90076336,31.3144965,10.71929825,0.966646267,5.711329851,37.77254693,-122.1848129
30X,362.7630375,28.91367204,439.7590361,68.89352818,56.71641791,47.34675206,2.478314746,43.88984509,2.087682672,1.492537313,12.54641877,15.20938038,2.382731882,1.961577825,37.76208058,-122.1811331
30Y,150.203252,7.670182167,18.22884592,4.62962963,2.865329513,19.51219512,0.958772771,2.586525434,0.420875421,0,19.58274898,2.376585786,0.603587963,0.373567335,37.76593961,-122.1723944
31X,42.23806912,15.57632399,73.63291825,29.60969044,13.65187713,6.034009874,0.5192108,5.414185165,1.34589502,0,2.711684037,4.727233351,1.900942127,0.876450512,37.74381557,-122.1973687
31Y,219.3050193,30.87248322,70.13924703,80,6.993006993,25.48262548,5.369127517,7.220216606,0,0,7.103575625,2.271901697,2.591304348,0.226512618,37.73856102,-122.1906944
31Z,78.183172,18.69158879,30.23872679,10.86956522,0.702740689,11.91362621,0,6.896551724,0,0.702740689,4.182799702,1.617771883,0.581521739,0.037596627,37.73403878,-122.1806149
32X,1623.115578,30.84415584,217.7201513,19.90049751,23.04737516,203.5175879,2.705627706,19.98919503,1.658374793,1.280409731,52.62311558,7.058716483,0.645195077,0.747220163,37.74322411,-122.1707048
32Y,226.2411348,5.031446541,64.39979392,12.74900398,9.775171065,21.9858156,0.503144654,4.121586811,0.796812749,0.977517107,44.96542553,12.79945904,2.533864542,1.942815249,37.7458863,-122.1585846
33X,448.0769231,36.44444444,151.8864882,275,8.747697974,66.02564103,8,16.12383102,12.5,0.920810313,12.29479362,4.167617055,7.545731707,0.240028298,37.74923873,-122.1783681
34X,686.7816092,43.76590331,180.5078929,122.5490196,15.83011583,90.72249589,4.071246819,12.35415237,4.901960784,0,15.69216119,4.124395461,2.800102599,0.36169974,37.75142226,-122.171266
35X,313.3654425,45.18828452,146.012931,168,31.05022831,30.10234798,4.184100418,13.46982759,0,0.913242009,6.934661181,3.231212085,3.717777778,0.687130052,37.75595287,-122.1626409
35Y,8.344030809,4.442470013,19.94301994,8.908685969,13.4529148,0.962772786,0,4.273504274,0,0,1.878241335,4.489173789,2.005345212,3.028251121,37.76029269,-122.120139
